date,return,entry_price,exit_price,ticker,rationale
2023-08-03,0.03197663448954141,65588.42176061493,67685.71875,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-08-03

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩65,705
- 종가: ₩65,588
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 29.5
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩65,588
- 청산가: ₩67,686
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +3.20%
"
2023-03-10,0.06370197999670732,81082.76571767496,86247.8984375,000660.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-03-10

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩83,095
- 종가: ₩81,180
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 30.0
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩81,083
- 청산가: ₩86,248
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +6.37%
"
2023-09-25,0.04665959703075292,471500.0,493500.0,373220.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-09-25

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩478,707
- 종가: ₩476,000
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 23.5
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩471,500
- 청산가: ₩493,500
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +4.67%
"
2023-02-27,0.03891043854804154,1185440.25,1231566.25,207940.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-02-27

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩1,200,177
- 종가: ₩1,183,903
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 26.9
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩1,185,440
- 청산가: ₩1,231,566
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +3.89%
"
2023-05-02,0.03911336067534696,1179290.125,1225416.125,207940.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-05-02

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩1,183,033
- 종가: ₩1,179,290
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 29.4
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩1,179,290
- 청산가: ₩1,225,416
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +3.91%
"
2023-06-22,0.0407893738903635,1168527.375,1216190.875,207940.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-06-22

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩1,172,983
- 종가: ₩1,162,377
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 25.8
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩1,168,527
- 청산가: ₩1,216,191
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +4.08%
"
2023-09-26,0.08618125659005905,1034761.6875,1123938.75,207940.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-09-26

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩1,058,106
- 종가: ₩1,045,524
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 22.1
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩1,034,762
- 청산가: ₩1,123,939
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +8.62%
"
2023-08-03,-0.009394660333441527,168099.12480489074,166519.890625,005380.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-08-03

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩169,371
- 종가: ₩168,187
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 19.1
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩168,099
- 청산가: ₩166,520
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: -0.94%
"
2023-10-27,0.04285717944295389,154738.45561594202,161370.109375,005380.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-10-27

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩158,909
- 종가: ₩155,269
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 24.4
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩154,738
- 청산가: ₩161,370
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +4.29%
"
2023-04-28,0.027338207311797858,690737.3540178571,709620.875,006400.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-04-28

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩687,885
- 종가: ₩686,762
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 28.0
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩690,737
- 청산가: ₩709,621
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +2.73%
"
2023-06-28,0.09132408634140494,652970.5029135338,712602.4375,006400.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-06-28

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩660,512
- 종가: ₩652,970
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 13.3
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩652,971
- 청산가: ₩712,602
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +9.13%
"
2023-08-03,-0.20937500634427536,636074.7086614174,502896.5625,006400.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-08-03

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩640,056
- 종가: ₩635,081
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 25.2
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩636,075
- 청산가: ₩502,897
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: -20.94%
"
2023-06-28,0.04204210126452374,658789.5409090909,686486.4375,051910.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-06-28

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩667,594
- 종가: ₩654,833
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 28.1
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩658,790
- 청산가: ₩686,486
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +4.20%
"
