date,return,entry_price,exit_price,ticker,rationale
2022-04-12,-0.03417539879309448,62266.708339019286,60138.71875,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-04-12

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩62,191
- 종가: ₩61,989
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 11.1
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩62,267
- 청산가: ₩60,139
- 청산 사유: 손절매
- 수익률: -3.42%
"
2022-04-28,0.04301081638771487,60231.2410863316,62821.8359375,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-04-28

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩60,240
- 종가: ₩59,954
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 12.1
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩60,231
- 청산가: ₩62,822
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +4.30%
"
2022-06-10,-0.027243677451513643,57733.180555555555,56160.31640625,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-06-10

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩59,426
- 종가: ₩59,028
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 2.4
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩57,733
- 청산가: ₩56,160
- 청산 사유: 손절매
- 수익률: -2.72%
"
2022-06-16,-0.03030296350435544,54957.5444319607,53292.16796875,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-06-16

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩57,121
- 종가: ₩56,345
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 4.0
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩54,958
- 청산가: ₩53,292
- 청산 사유: 손절매
- 수익률: -3.03%
"
2022-06-23,-0.02342594588669701,53569.73419440282,52314.8125,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-06-23

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩53,314
- 종가: ₩53,107
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 4.1
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩53,570
- 청산가: ₩52,315
- 청산 사유: 손절매
- 수익률: -2.34%
"
2022-09-08,-0.021052532616194285,53059.50173461704,51942.46484375,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-09-08

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩52,372
- 종가: ₩51,756
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 18.0
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩53,060
- 청산가: ₩51,942
- 청산 사유: 손절매
- 수익률: -2.11%
"
2022-05-26,-0.06161126136990568,101715.12529481133,95448.328125,000660.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-05-26

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩101,980
- 종가: ₩99,305
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 19.4
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩101,715
- 청산가: ₩95,448
- 청산 사유: 손절매
- 수익률: -6.16%
"
2022-06-14,-0.02131972502402272,94966.24804487998,92941.59375,000660.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-06-14

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩97,023
- 종가: ₩95,545
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 17.4
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩94,966
- 청산가: ₩92,942
- 청산 사유: 손절매
- 수익률: -2.13%
"
2022-06-20,-0.02639933606843594,91302.60952271534,88892.28125,000660.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-06-20

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩92,189
- 종가: ₩91,110
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 0.9
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩91,303
- 청산가: ₩88,892
- 청산 사유: 손절매
- 수익률: -2.64%
"
2022-06-23,-0.030095780936503974,87253.26773164574,84627.3125,000660.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-06-23

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩87,973
- 종가: ₩86,964
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 6.8
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩87,253
- 청산가: ₩84,627
- 청산 사유: 손절매
- 수익률: -3.01%
"
