date,return,entry_price,exit_price,ticker,rationale,original_return
2024-08-05,-0.21912536011402148,72767.74712284483,56958.12109375,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-08-05

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩72,538
- 종가: ₩69,367
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 18.5
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩72,768
- 청산가: ₩56,958
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: -21.73%
",-0.21726144692105667
2024-08-02,0.07433429096703782,165984.7869955157,178730.046875,000660.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-08-02

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩182,330
- 종가: ₩171,122
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 19.3
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩165,985
- 청산가: ₩178,730
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +7.68%
",0.07678571096897355
2024-11-28,0.14740221954585334,158343.33958724202,182094.828125,000660.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-11-28

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩162,102
- 종가: ₩159,432
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 20.3
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩158,343
- 청산가: ₩182,095
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +15.00%
",0.14999992168708606
2024-04-03,0.02794448278993749,379500.0,391000.0,373220.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-04-03

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩379,820
- 종가: ₩376,000
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 27.3
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩379,500
- 청산가: ₩391,000
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +3.03%
",0.030303030303030304
2024-05-29,0.044392149955308026,342000.0,358000.0,373220.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-05-29

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩352,668
- 종가: ₩342,000
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 16.4
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩342,000
- 청산가: ₩358,000
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +4.68%
",0.04678362573099415
2024-05-28,0.024711553157260376,1136239.0,1166989.75,207940.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-05-28

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩1,152,230
- 종가: ₩1,145,464
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 27.8
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩1,136,239
- 청산가: ₩1,166,990
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +2.71%
",0.027063628338756196
2024-11-13,0.048074357434878055,1462196.625,1535998.375,207940.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-11-13

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩1,466,334
- 종가: ₩1,460,659
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 28.4
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩1,462,197
- 청산가: ₩1,535,998
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +5.05%
",0.050473204997310124
2024-04-03,0.10047097276861079,201910.0279659845,222701.65625,005380.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-04-03

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩203,617
- 종가: ₩199,600
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 26.5
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩201,910
- 청산가: ₩222,702
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +10.30%
",0.10297471845983908
2024-07-26,0.020197919544066793,227042.40288649706,232160.15625,005380.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-07-26

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩230,008
- 종가: ₩226,577
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 24.2
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩227,042
- 청산가: ₩232,160
- 청산 사유: RSI 과매수 (70 이상)
- 수익률: +2.25%
",0.022540958422032752
2024-10-31,0.01648786701656879,199270.38202576112,203021.34375,005380.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-10-31

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩203,137
- 종가: ₩201,615
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 19.8
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩199,270
- 청산가: ₩203,021
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +1.88%
",0.018823478361947255
