date,return,entry_price,exit_price,ticker,rationale
2022-01-27,0.05750327975885168,65628.33517010573,69402.1796875,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-01-27

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩66,449
- 종가: ₩65,628
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 13.5
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩65,628
- 청산가: ₩69,402
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +5.75%
"
2022-04-12,0.0014858377124576222,62266.708339019286,62359.2265625,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-04-12

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩62,117
- 종가: ₩61,989
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 17.7
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩62,267
- 청산가: ₩62,359
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +0.15%
"
2022-06-13,-0.043204617786134436,56622.92250605815,54176.55078125,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-06-13

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩58,222
- 종가: ₩57,456
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 19.6
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩56,623
- 청산가: ₩54,177
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: -4.32%
"
2022-08-10,0.0385025769409136,90430.32447414254,93912.125,000660.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-08-10

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩89,809
- 종가: ₩88,786
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 15.9
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩90,430
- 청산가: ₩93,912
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +3.85%
"
2022-03-14,0.12121212121212122,363000.0,407000.0,373220.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-03-14

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩374,914
- 종가: ₩363,500
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 15.5
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩363,000
- 청산가: ₩407,000
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +12.12%
"
2022-01-27,0.08726745625936737,1063449.125,1156253.625,207940.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-01-27

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩1,126,482
- 종가: ₩1,083,227
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 20.0
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩1,063,449
- 청산가: ₩1,156,254
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +8.73%
"
2022-01-27,-0.08310986135471721,155424.734375,142507.40625,005380.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-01-27

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩156,185
- 종가: ₩155,425
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 9.9
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩155,425
- 청산가: ₩142,507
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: -8.31%
"
2022-01-25,0.07189546909486735,64608.8828125,69253.96875,000270.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-01-25

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩65,151
- 종가: ₩64,609
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 17.8
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩64,609
- 청산가: ₩69,254
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +7.19%
"
2022-04-26,-0.007155574346025571,275233.3590129233,273263.90625,035420.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-04-26

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩282,798
- 종가: ₩282,619
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 19.3
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩275,233
- 청산가: ₩273,264
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: -0.72%
"
2022-09-22,-0.17939162314692192,204332.45212292162,167676.921875,035420.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-09-22

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩204,047
- 종가: ₩203,348
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 17.5
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩204,332
- 청산가: ₩167,677
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: -17.94%
"
2022-06-14,-0.11921135657935807,237437.17668499044,209131.96875,005490.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-06-14

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩239,398
- 종가: ₩235,649
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 17.0
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩237,437
- 청산가: ₩209,132
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: -11.92%
"
