date,return,entry_price,exit_price,ticker,rationale
2022-06-10,-0.0019472136425495597,57733.180555555555,57620.76171875,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-06-10

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩59,192
- 종가: ₩59,028
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 28.2
- 과매도 기준: 40
- RSI ≤ 40: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩57,733
- 청산가: ₩57,621
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: -0.19%
"
2022-09-08,-0.0054937912878451275,53059.50173461704,52768.00390625,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-09-08

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩51,767
- 종가: ₩51,756
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 22.1
- 과매도 기준: 40
- RSI ≤ 40: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩53,060
- 청산가: ₩52,768
- 청산 사유: RSI 과매수 (60 이상)
- 수익률: -0.55%
"
2022-06-13,0.0456032822176455,93423.6529153002,97684.078125,000660.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-06-13

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩97,789
- 종가: ₩95,448
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 26.3
- 과매도 기준: 40
- RSI ≤ 40: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩93,424
- 청산가: ₩97,684
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +4.56%
"
2022-09-23,0.15765125445839814,78824.28399621212,91251.03125,000660.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-09-23

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩81,396
- 종가: ₩80,759
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 26.7
- 과매도 기준: 40
- RSI ≤ 40: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩78,824
- 청산가: ₩91,251
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +15.77%
"
2022-06-30,0.05256064690026954,371000.0,390500.0,373220.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-06-30

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩375,425
- 종가: ₩371,000
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 27.1
- 과매도 기준: 40
- RSI ≤ 40: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩371,000
- 청산가: ₩390,500
- 청산 사유: RSI 과매수 (60 이상)
- 수익률: +5.26%
"
2022-06-14,0.054754942616772925,144590.84294181035,152507.90625,005380.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-06-14

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩144,280
- 종가: ₩142,924
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 24.6
- 과매도 기준: 40
- RSI ≤ 40: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩144,591
- 청산가: ₩152,508
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +5.48%
"
2022-09-26,-0.057534275142367516,152913.3526545699,144115.59375,005380.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-09-26

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩153,929
- 종가: ₩152,913
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 28.8
- 과매도 기준: 40
- RSI ≤ 40: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩152,913
- 청산가: ₩144,116
- 청산 사유: RSI 과매수 (60 이상)
- 수익률: -5.75%
"
2022-06-07,0.06410238863525503,541776.0486745887,576505.1875,006400.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-06-07

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩546,950
- 종가: ₩531,853
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 32.4
- 과매도 기준: 40
- RSI ≤ 40: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩541,776
- 청산가: ₩576,505
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +6.41%
"
2022-09-30,0.11904769214674699,531488.5743243244,594761.0625,051910.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-09-30

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩524,662
- 종가: ₩521,754
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 14.9
- 과매도 기준: 40
- RSI ≤ 40: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩531,489
- 청산가: ₩594,761
- 청산 사유: RSI 과매수 (60 이상)
- 수익률: +11.90%
"
2022-09-26,-0.0981432497058249,63679.866196895426,57430.1171875,000270.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-09-26

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩63,913
- 종가: ₩63,173
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 25.0
- 과매도 기준: 40
- RSI ≤ 40: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩63,680
- 청산가: ₩57,430
- 청산 사유: RSI 과매수 (60 이상)
- 수익률: -9.81%
"
2022-10-04,-0.005865104616339838,168666.16658727135,167676.921875,035420.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-10-04

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩176,018
- 종가: ₩174,602
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 5.8
- 과매도 기준: 40
- RSI ≤ 40: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩168,666
- 청산가: ₩167,677
- 청산 사유: RSI 과매수 (60 이상)
- 수익률: -0.59%
"
2022-06-13,-0.08222075075684368,234307.1095825427,215042.203125,005490.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-06-13

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩242,006
- 종가: ₩239,673
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 21.0
- 과매도 기준: 40
- RSI ≤ 40: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩234,307
- 청산가: ₩215,042
- 청산 사유: RSI 과매수 (60 이상)
- 수익률: -8.22%
"
2022-09-30,0.14153146673388287,197681.58528792133,225659.75,005490.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-09-30

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩196,384
- 종가: ₩193,554
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 29.4
- 과매도 기준: 40
- RSI ≤ 40: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩197,682
- 청산가: ₩225,660
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +14.15%
"
