date,return,entry_price,exit_price,ticker,rationale
2022-01-24,-0.010695187165775501,68849.90954391893,68113.546875,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-01-24

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩69,210
- 종가: ₩69,126
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 30.0
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩68,850
- 청산가: ₩68,114
- 청산 사유: 손절매
- 수익률: -1.07%
"
2022-01-27,0.05750327975885168,65628.33517010573,69402.1796875,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-01-27

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩66,797
- 종가: ₩65,628
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 13.5
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩65,628
- 청산가: ₩69,402
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +5.75%
"
2022-03-08,0.017266415924326775,63971.50390624999,65076.0625,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-03-08

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩64,190
- 종가: ₩63,972
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 29.0
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩63,972
- 청산가: ₩65,076
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +1.73%
"
2022-03-24,0.0014266303176870448,64523.76484710781,64615.81640625,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-03-24

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩64,266
- 종가: ₩64,248
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 26.9
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩64,524
- 청산가: ₩64,616
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +0.14%
"
2022-04-07,-0.016152515422396294,63006.879753180314,61989.16015625,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-04-07

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩63,233
- 종가: ₩62,914
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 26.9
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩63,007
- 청산가: ₩61,989
- 청산 사유: 손절매
- 수익률: -1.62%
"
2022-06-10,-0.027243677451513643,57733.180555555555,56160.31640625,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-06-10

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩59,509
- 종가: ₩59,028
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 28.2
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩57,733
- 청산가: ₩56,160
- 청산 사유: 손절매
- 수익률: -2.72%
"
2022-06-20,-0.01873937587791424,54309.9016292735,53292.16796875,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-06-20

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩54,332
- 종가: ₩54,310
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 13.9
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩54,310
- 청산가: ₩53,292
- 청산 사유: 손절매
- 수익률: -1.87%
"
2022-07-01,0.03743311014707064,52221.7290458078,54176.55078125,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-07-01

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩52,572
- 종가: ₩52,315
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 22.1
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩52,222
- 청산가: ₩54,177
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +3.74%
"
2022-08-10,0.02348996309458546,55479.762886060096,56782.98046875,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-08-10

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩55,619
- 종가: ₩55,014
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 25.5
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩55,480
- 청산가: ₩56,783
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +2.35%
"
2022-09-07,-0.010676156583629885,52314.81016749101,51756.2890625,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2022-09-07

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩52,400
- 종가: ₩52,129
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 21.6
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩52,315
- 청산가: ₩51,756
- 청산 사유: 손절매
- 수익률: -1.07%
"
