진입날짜,청산날짜,진입가,청산가,수익률,매매근거
2023-04-27,2023-05-03,737923.4158783783,718139.9375,-0.026809663377912046," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-04-27  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩736,335 - 종가: ₩732,978 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 18.2 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩737,923 - 청산가: ₩718,140 - 청산 사유: 손절매 - 수익률: -2.68% "
2023-05-11,2023-05-17,689453.9365915698,701324.0,0.017216615611931715," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-05-11  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩701,966 - 종가: ₩683,519 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 15.5 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩689,454 - 청산가: ₩701,324 - 청산 사유: 목표 밴드 도달 (중심선) - 수익률: +1.72% "
2023-06-27,2023-06-28,702313.137273414,654832.8125,-0.06760563380281696," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-06-27  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩699,041 - 종가: ₩695,389 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 15.5 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩702,313 - 청산가: ₩654,833 - 청산 사유: 손절매 - 수익률: -6.76% "
2023-06-29,2023-07-10,657800.3406109445,646919.4375,-0.01654134611854823," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-06-29  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩672,753 - 종가: ₩652,854 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 0.0 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩657,800 - 청산가: ₩646,919 - 청산 사유: 손절매 - 수익률: -1.65% "
2023-08-02,2023-08-04,639006.0202177294,629114.3125,-0.015479834938580028," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-08-02  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩639,278 - 종가: ₩635,049 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 19.1 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩639,006 - 청산가: ₩629,114 - 청산 사유: 손절매 - 수익률: -1.55% "
2023-08-07,2023-08-14,608341.6875,590536.5625,-0.02926829669222693," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-08-07  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩616,233 - 종가: ₩608,342 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 13.6 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩608,342 - 청산가: ₩590,537 - 청산 사유: 손절매 - 수익률: -2.93% "
2023-08-21,2023-08-23,572731.4155759162,555915.5,-0.029360910050667915," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-08-21  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩570,361 - 종가: ₩561,851 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 5.7 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩572,731 - 청산가: ₩555,916 - 청산 사유: 손절매 - 수익률: -2.94% "
2023-09-13,2023-09-15,535142.7945298372,566796.375,0.05914978356005488," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-09-13  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩549,725 - 종가: ₩534,154 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 10.3 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩535,143 - 청산가: ₩566,796 - 청산 사유: 목표 밴드 도달 (중심선) - 수익률: +5.91% "
2023-09-26,2023-10-04,491619.2117321249,480738.3125,-0.022132778728862473," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-09-26  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩509,388 - 종가: ₩499,533 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 0.0 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩491,619 - 청산가: ₩480,738 - 청산 사유: 손절매 - 수익률: -2.21% "
2023-10-23,2023-10-25,475792.4662093496,453041.4375,-0.04781712684651689," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-10-23  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩482,987 - 종가: ₩475,792 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 8.6 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩475,792 - 청산가: ₩453,041 - 청산 사유: 손절매 - 수익률: -4.78% "
2023-10-26,2023-11-02,421387.9246009122,450568.53125,0.06924879652572899," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-10-26  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩454,068 - 종가: ₩421,388 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 11.2 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩421,388 - 청산가: ₩450,569 - 청산 사유: 목표 밴드 도달 (중심선) - 수익률: +6.92% "
2023-12-04,2023-12-13,463922.37174893846,455019.78125,-0.019189827956294994," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-12-04  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩482,890 - 종가: ₩467,879 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 0.0 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩463,922 - 청산가: ₩455,020 - 청산 사유: 손절매 - 수익률: -1.92% "
