진입날짜,청산날짜,진입가,청산가,수익률,매매근거
2023-02-17,2023-03-06,"171,138","168,669",-1.44%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-02-17

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩173,086
- 종가: ₩171,138
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 19.1
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩171,138
- 청산가: ₩168,669
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: -1.44%
"
2023-03-13,2023-03-28,"156,320","151,930",-2.81%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-03-13

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩159,332
- 종가: ₩157,967
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 19.5
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩156,320
- 청산가: ₩151,930
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: -2.81%
"
2023-04-21,2023-05-08,"152,662","152,662",-0.00%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-04-21

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩154,075
- 종가: ₩152,662
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 17.4
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩152,662
- 청산가: ₩152,662
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: -0.00%
"
2023-06-16,2023-06-26,"151,930","138,667",-8.73%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-06-16

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩153,265
- 종가: ₩151,838
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 17.6
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩151,930
- 청산가: ₩138,667
- 청산 사유: 손절매
- 수익률: -8.73%
"
2023-06-27,2023-07-04,"142,783","135,099",-5.38%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-06-27

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩142,927
- 종가: ₩141,868
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 19.6
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩142,783
- 청산가: ₩135,099
- 청산 사유: 손절매
- 수익률: -5.38%
"
2023-07-06,2023-07-12,"130,618","135,465",+3.71%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-07-06

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩133,576
- 종가: ₩131,258
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 9.7
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩130,618
- 청산가: ₩135,465
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +3.71%
"
2023-08-11,2023-08-17,"139,300","130,709",-6.17%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-08-11

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩139,603
- 종가: ₩139,577
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 17.5
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩139,300
- 청산가: ₩130,709
- 청산 사유: 손절매
- 수익률: -6.17%
"
2023-08-18,2023-08-28,"128,584","133,480",+3.81%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-08-18

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩132,279
- 종가: ₩128,215
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 2.9
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩128,584
- 청산가: ₩133,480
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +3.81%
"
2023-10-04,2023-10-11,"128,862","136,067",+5.59%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-10-04

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩133,518
- 종가: ₩128,215
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 11.4
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩128,862
- 청산가: ₩136,067
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +5.59%
"
2023-10-23,2023-11-01,"131,633","133,850",+1.68%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-10-23

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩131,754
- 종가: ₩130,801
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 1.1
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩131,633
- 청산가: ₩133,850
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +1.68%
"
