진입날짜,청산날짜,진입가,청산가,수익률,매매근거
2023-02-28,2023-03-02,"145,432","154,377",+6.15%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-02-28

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩147,165
- 종가: ₩144,374
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 20.0
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩145,432
- 청산가: ₩154,377
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +6.15%
"
2023-03-21,2023-03-27,"153,031","160,437",+4.84%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-03-21

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩153,678
- 종가: ₩150,722
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 11.8
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩153,031
- 청산가: ₩160,437
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +4.84%
"
2023-04-20,2023-04-25,"177,462","168,421",-5.09%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-04-20

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩178,461
- 종가: ₩178,328
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 13.0
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩177,462
- 청산가: ₩168,421
- 청산 사유: 손절매
- 수익률: -5.09%
"
2023-04-26,2023-05-04,"169,286","172,172",+1.70%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-04-26

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩171,881
- 종가: ₩170,729
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 11.5
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩169,286
- 청산가: ₩172,172
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +1.70%
"
2023-06-16,2023-06-26,"180,444","164,958",-8.58%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-06-16

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩184,802
- 종가: ₩181,021
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 12.0
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩180,444
- 청산가: ₩164,958
- 청산 사유: 손절매
- 수익률: -8.58%
"
2023-06-27,2023-06-29,"161,207","151,973",-5.73%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-06-27

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩168,217
- 종가: ₩160,918
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 5.9
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩161,207
- 청산가: ₩151,973
- 청산 사유: 손절매
- 수익률: -5.73%
"
2023-06-30,2023-07-07,"154,377","159,668",+3.43%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-06-30

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩155,634
- 종가: ₩152,454
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 6.1
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩154,377
- 청산가: ₩159,668
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +3.43%
"
2023-08-14,2023-08-28,"178,762","174,145",-2.58%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-08-14

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩184,293
- 종가: ₩180,922
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 0.0
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩178,762
- 청산가: ₩174,145
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: -2.58%
"
2023-09-13,2023-09-26,"157,448","146,938",-6.67%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-09-13

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩163,353
- 종가: ₩157,055
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 0.0
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩157,448
- 청산가: ₩146,938
- 청산 사유: 손절매
- 수익률: -6.67%
"
2023-09-27,2023-10-06,"143,402","136,232",-5.00%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-09-27

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩150,040
- 종가: ₩146,152
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 1.2
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩143,402
- 청산가: ₩136,232
- 청산 사유: 손절매
- 수익률: -5.00%
"
