진입날짜,청산날짜,종목명,진입가,청산가,수익률,매매근거
2023-02-27,2023-03-06,삼성전자,57341.96864686468,58002.16796875,0.011513370354462269," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-02-27  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩57,685 - 종가: ₩57,059 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 19.2 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩57,342 - 청산가: ₩58,002 - 청산 사유: 목표 밴드 도달 (중심선) - 수익률: +1.15% "
2023-07-10,2023-07-12,삼성전자,66923.06676136363,68543.71875,0.024216642587754373," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-07-10  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩67,326 - 종가: ₩66,256 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 17.8 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩66,923 - 청산가: ₩68,544 - 청산 사유: 목표 밴드 도달 (중심선) - 수익률: +2.42% "
2023-07-25,2023-07-27,삼성전자,66541.734375,68353.046875,0.027220698663972868," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-07-25  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩67,123 - 종가: ₩66,732 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 2.8 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩66,542 - 청산가: ₩68,353 - 청산 사유: 목표 밴드 도달 (중심선) - 수익률: +2.72% "
2023-10-04,2023-10-11,삼성전자,64493.91256324963,65356.3984375,0.013373136160789209," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-10-04  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩65,122 - 종가: ₩64,686 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 19.1 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩64,494 - 청산가: ₩65,356 - 청산 사유: 목표 밴드 도달 (중심선) - 수익률: +1.34% "
2023-11-27,2023-11-28,삼성전자,68422.96159301925,69668.7578125,0.01820728291316534," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-11-27  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩68,513 - 종가: ₩68,327 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 14.3 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩68,423 - 청산가: ₩69,669 - 청산 사유: 목표 밴드 도달 (중심선) - 수익률: +1.82% "
2023-03-15,2023-03-20,SK하이닉스,74748.17766020569,81570.046875,0.09126468936547898," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-03-15  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩79,879 - 종가: ₩77,087 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 7.9 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩74,748 - 청산가: ₩81,570 - 청산 사유: 목표 밴드 도달 (중심선) - 수익률: +9.13% "
2023-04-20,2023-04-27,SK하이닉스,85764.35285143097,86840.0703125,0.012542710640310964," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-04-20  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩85,886 - 종가: ₩85,764 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 18.5 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩85,764 - 청산가: ₩86,840 - 청산 사유: 목표 밴드 도달 (중심선) - 수익률: +1.25% "
2023-05-11,2023-05-16,SK하이닉스,84395.24698071962,88404.75,0.047508635411617046," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-05-11  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩85,122 - 종가: ₩84,395 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 15.2 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩84,395 - 청산가: ₩88,405 - 청산 사유: 목표 밴드 도달 (중심선) - 수익률: +4.75% "
2023-06-22,2023-06-29,SK하이닉스,111483.86677486796,113934.3671875,0.02198076262981276," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-06-22  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩111,967 - 종가: ₩111,484 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 17.6 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩111,484 - 청산가: ₩113,934 - 청산 사유: 목표 밴드 도달 (중심선) - 수익률: +2.20% "
2023-07-25,2023-07-27,SK하이닉스,113738.25663716815,121582.2734375,0.06896550933917281," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-07-25  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩111,973 - 종가: ₩111,189 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 10.3 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩113,738 - 청산가: ₩121,582 - 청산 사유: 목표 밴드 도달 (중심선) - 수익률: +6.90% "
2023-08-17,2023-08-24,SK하이닉스,110404.54919475256,118542.7109375,0.07371219575736687," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-08-17  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩113,092 - 종가: ₩112,562 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 10.1 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩110,405 - 청산가: ₩118,543 - 청산 사유: 목표 밴드 도달 (중심선) - 수익률: +7.37% "
2023-09-26,2023-10-05,SK하이닉스,111081.57993679163,118159.3359375,0.06371673867742786," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-09-26  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩113,968 - 종가: ₩113,048 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 11.0 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩111,082 - 청산가: ₩118,159 - 청산 사유: 목표 밴드 도달 (중심선) - 수익률: +6.37% "
2023-04-20,2023-04-27,LG에너지솔루션,577000.0,587000.0,0.01733102253032929," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-04-20  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩582,076 - 종가: ₩580,000 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 20.0 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩577,000 - 청산가: ₩587,000 - 청산 사유: 목표 밴드 도달 (중심선) - 수익률: +1.73% "
2023-05-12,2023-05-17,LG에너지솔루션,542000.0,560000.0,0.033210332103321034," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-05-12  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩553,285 - 종가: ₩547,000 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 13.3 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩542,000 - 청산가: ₩560,000 - 청산 사유: 목표 밴드 도달 (중심선) - 수익률: +3.32% "
2023-06-20,2023-07-03,LG에너지솔루션,563000.0,573000.0,0.017761989342806393," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-06-20  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩572,327 - 종가: ₩561,000 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 10.0 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩563,000 - 청산가: ₩573,000 - 청산 사유: 목표 밴드 도달 (중심선) - 수익률: +1.78% "
2023-07-12,2023-07-19,LG에너지솔루션,535000.0,560000.0,0.04672897196261682," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-07-12  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩545,374 - 종가: ₩534,000 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 0.0 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩535,000 - 청산가: ₩560,000 - 청산 사유: 목표 밴드 도달 (중심선) - 수익률: +4.67% "
2023-09-08,2023-09-25,LG에너지솔루션,512000.0,476000.0,-0.0703125," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-09-08  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩518,411 - 종가: ₩509,000 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 19.4 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩512,000 - 청산가: ₩476,000 - 청산 사유: 손절매 - 수익률: -7.03% "
2023-09-26,2023-10-11,LG에너지솔루션,469500.0,492000.0,0.04792332268370607," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-09-26  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩481,913 - 종가: ₩475,500 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 13.3 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩469,500 - 청산가: ₩492,000 - 청산 사유: 목표 밴드 도달 (중심선) - 수익률: +4.79% "
2023-10-20,2023-10-25,LG에너지솔루션,438000.0,409500.0,-0.06506849315068493," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-10-20  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩451,573 - 종가: ₩436,500 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 4.1 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩438,000 - 청산가: ₩409,500 - 청산 사유: 손절매 - 수익률: -6.51% "
2023-10-26,2023-11-01,LG에너지솔루션,399500.0,377500.0,-0.05506883604505632," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-10-26  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩419,994 - 종가: ₩399,500 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 12.1 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩399,500 - 청산가: ₩377,500 - 청산 사유: 손절매 - 수익률: -5.51% "
2023-12-13,2023-12-19,LG에너지솔루션,419500.0,426000.0,0.015494636471990465," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-12-13  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩417,887 - 종가: ₩410,000 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 18.8 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩419,500 - 청산가: ₩426,000 - 청산 사유: 목표 밴드 도달 (중심선) - 수익률: +1.55% "
2023-02-27,2023-03-03,삼성바이오로직스,1185440.25,1211578.375,0.022049297718716738," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-02-27  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩1,202,735 - 종가: ₩1,183,903 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 13.2 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩1,185,440 - 청산가: ₩1,211,578 - 청산 사유: 목표 밴드 도달 (중심선) - 수익률: +2.20% "
2023-03-29,2023-04-06,삼성바이오로직스,1213115.875,1237716.375,0.020278771803229432," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-03-29  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩1,218,933 - 종가: ₩1,216,191 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 4.3 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩1,213,116 - 청산가: ₩1,237,716 - 청산 사유: 목표 밴드 도달 (중심선) - 수익률: +2.03% "
2023-06-20,2023-07-05,삼성바이오로직스,1179290.125,1160839.625,-0.015645429066914303," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-06-20  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩1,189,356 - 종가: ₩1,182,365 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 0.0 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩1,179,290 - 청산가: ₩1,160,840 - 청산 사유: 목표 밴드 도달 (중심선) - 수익률: -1.56% "
2023-07-10,2023-07-13,삼성바이오로직스,1097800.625,1150076.875,0.04761907472953024," **매수 근거 (BB-RSI 역추세)**  📊 **시그널 발생일**: 2023-07-10  📉 **과매도 조건 충족**: - Bollinger Lower Band: ₩1,115,373 - 종가: ₩1,088,576 - 종가 ≤ Lower Band: ✅  📈 **RSI 조건 충족**: - RSI(7): 18.7 - 과매도 기준: 20 - RSI ≤ 20: ✅  💰 **매매 결과**: - 진입가 (익일 시가): ₩1,097,801 - 청산가: ₩1,150,077 - 청산 사유: 목표 밴드 도달 (중심선) - 수익률: +4.76% "
