진입날짜,청산날짜,진입가,청산가,수익률,매매근거
2023-01-25,2023-01-26,"148,668","150,027",+0.91%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-01-25

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩147,575
- 종가: ₩147,218
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 17.6
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩148,668
- 청산가: ₩150,027
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +0.91%
"
2023-02-13,2023-02-22,"146,675","134,988",-7.97%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-02-13

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩148,451
- 종가: ₩145,950
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 11.2
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩146,675
- 청산가: ₩134,988
- 청산 사유: 손절매
- 수익률: -7.97%
"
2023-02-23,2023-03-03,"134,988","136,437",+1.07%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-02-23

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩137,170
- 종가: ₩134,988
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 16.3
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩134,988
- 청산가: ₩136,437
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +1.07%
"
2023-04-24,2023-05-03,"151,748","144,047",-5.07%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-04-24

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩151,987
- 종가: ₩150,842
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 2.2
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩151,748
- 청산가: ₩144,047
- 청산 사유: 손절매
- 수익률: -5.07%
"
2023-06-13,2023-06-23,"149,755","148,487",-0.85%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-06-13

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩151,541
- 종가: ₩149,483
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 6.7
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩149,755
- 청산가: ₩148,487
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: -0.85%
"
2023-07-04,2023-07-06,"136,528","138,249",+1.26%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-07-04

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩135,943
- 종가: ₩135,803
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 16.0
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩136,528
- 청산가: ₩138,249
- 청산 사유: RSI 과매수 (60 이상)
- 수익률: +1.26%
"
2023-07-25,2023-08-01,"130,367","136,800",+4.93%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-07-25

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩133,498
- 종가: ₩130,911
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 6.9
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩130,367
- 청산가: ₩136,800
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +4.93%
"
2023-09-22,2023-10-05,"126,200","119,405",-5.38%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-09-22

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩129,297
- 종가: ₩126,200
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 14.4
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩126,200
- 청산가: ₩119,405
- 청산 사유: 손절매
- 수익률: -5.38%
"
2023-10-23,2023-10-24,"128,646","135,984",+5.70%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-10-23

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩127,641
- 종가: ₩127,378
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 19.3
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩128,646
- 청산가: ₩135,984
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +5.70%
"
2023-12-07,2023-12-08,"143,776","151,929",+5.67%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-12-07

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩144,867
- 종가: ₩142,779
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 13.7
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩143,776
- 청산가: ₩151,929
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +5.67%
"
