진입날짜,청산날짜,진입가,청산가,수익률,매매근거
2023-02-17,2023-03-06,"63,236","63,436",+0.32%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-02-17

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩63,494
- 종가: ₩63,137
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 15.5
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩63,236
- 청산가: ₩63,436
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +0.32%
"
2023-04-25,2023-04-28,"55,457","57,950",+4.50%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-04-25

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩57,038
- 종가: ₩55,856
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 0.0
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩55,457
- 청산가: ₩57,950
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +4.50%
"
2023-05-31,2023-06-02,"56,155","57,052",+1.60%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-05-31

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩56,385
- 종가: ₩56,055
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 13.0
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩56,155
- 청산가: ₩57,052
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +1.60%
"
2023-06-14,2023-06-19,"55,556","52,365",-5.75%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-06-14

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩55,884
- 종가: ₩55,556
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 20.0
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩55,556
- 청산가: ₩52,365
- 청산 사유: 손절매
- 수익률: -5.75%
"
2023-06-20,2023-06-28,"51,567","48,874",-5.22%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-06-20

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩52,954
- 종가: ₩51,567
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 3.9
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩51,567
- 청산가: ₩48,874
- 청산 사유: 손절매
- 수익률: -5.22%
"
2023-06-29,2023-07-03,"48,724","50,868",+4.40%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-06-29

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩48,884
- 종가: ₩48,874
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 9.1
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩48,724
- 청산가: ₩50,868
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +4.40%
"
2023-07-25,2023-07-27,"48,674","50,469",+3.69%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-07-25

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩49,700
- 종가: ₩48,724
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 4.6
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩48,674
- 청산가: ₩50,469
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +3.69%
"
2023-08-17,2023-08-30,"48,524","48,874",+0.72%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-08-17

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩50,283
- 종가: ₩49,123
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 18.3
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩48,524
- 청산가: ₩48,874
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +0.72%
"
2023-09-13,2023-09-15,"47,727","48,724",+2.09%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-09-13

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩47,978
- 종가: ₩47,677
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 15.8
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩47,727
- 청산가: ₩48,724
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +2.09%
"
2023-09-25,2023-10-04,"44,535","41,493",-6.83%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-09-25

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩45,598
- 종가: ₩44,684
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 12.0
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩44,535
- 청산가: ₩41,493
- 청산 사유: 손절매
- 수익률: -6.83%
"
2023-10-05,2023-10-12,"40,495","43,537",+7.51%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-10-05

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩42,286
- 종가: ₩40,745
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 3.0
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩40,495
- 청산가: ₩43,537
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +7.51%
"
2023-10-20,2023-11-02,"38,101","38,451",+0.92%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-10-20

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩40,510
- 종가: ₩38,949
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 17.9
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩38,101
- 청산가: ₩38,451
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +0.92%
"
