진입날짜,청산날짜,진입가,청산가,수익률,매매근거
2023-04-28,2023-05-08,"339,235","321,249",-5.30%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-04-28

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩338,784
- 종가: ₩334,738
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 8.0
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩339,235
- 청산가: ₩321,249
- 청산 사유: 손절매
- 수익률: -5.30%
"
2023-05-12,2023-05-18,"297,268","317,752",+6.89%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-05-12

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩306,515
- 종가: ₩300,265
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 0.0
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩297,268
- 청산가: ₩317,752
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +6.89%
"
2023-06-27,2023-06-28,"367,713","349,227",-5.03%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-06-27

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩369,773
- 종가: ₩364,715
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 18.9
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩367,713
- 청산가: ₩349,227
- 청산 사유: 손절매
- 수익률: -5.03%
"
2023-06-29,2023-07-03,"350,226","368,712",+5.28%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-06-29

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩358,119
- 종가: ₩349,727
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 12.7
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩350,226
- 청산가: ₩368,712
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +5.28%
"
2023-08-14,2023-08-22,"425,667","437,658",+2.82%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-08-14

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩437,196
- 종가: ₩433,661
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 19.2
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩425,667
- 청산가: ₩437,658
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +2.82%
"
2023-09-13,2023-09-20,"388,696","410,679",+5.66%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-09-13

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩400,670
- 종가: ₩386,698
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 19.0
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩388,696
- 청산가: ₩410,679
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +5.66%
"
2023-09-26,2023-10-04,"362,717","335,738",-7.44%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-09-26

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩378,638
- 종가: ₩367,713
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 19.9
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩362,717
- 청산가: ₩335,738
- 청산 사유: 손절매
- 수익률: -7.44%
"
2023-10-05,2023-10-13,"329,742","347,728",+5.45%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-10-05

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩348,566
- 종가: ₩332,740
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 0.0
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩329,742
- 청산가: ₩347,728
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +5.45%
"
2023-10-20,2023-10-25,"298,267","273,786",-8.21%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-10-20

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩315,338
- 종가: ₩299,766
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 19.4
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩298,267
- 청산가: ₩273,786
- 청산 사유: 손절매
- 수익률: -8.21%
"
2023-10-26,2023-10-31,"251,304","236,315",-5.96%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-10-26

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩279,077
- 종가: ₩249,305
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 4.9
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩251,304
- 청산가: ₩236,315
- 청산 사유: 손절매
- 수익률: -5.96%
"
2023-11-01,2023-11-03,"241,811","268,790",+11.16%,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-11-01

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩241,039
- 종가: ₩233,318
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(7): 10.9
- 과매도 기준: 20
- RSI ≤ 20: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩241,811
- 청산가: ₩268,790
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +11.16%
"
