date,return,entry_price,exit_price,ticker,rationale,original_return
2024-05-30,0.03655037319202427,72057.74144345238,74862.671875,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-05-30

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩71,940
- 종가: ₩71,091
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 27.5
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩72,058
- 청산가: ₩74,863
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +3.89%
",0.03892614971493104
2024-08-05,0.06832174524652092,72767.74712284483,77916.875,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-08-05

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩73,452
- 종가: ₩69,367
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 18.5
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩72,768
- 청산가: ₩77,917
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +7.08%
",0.07076112811988716
2024-09-04,-0.1470238179002903,68104.3961843297,58228.19921875,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-09-04

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩68,920
- 종가: ₩68,007
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 28.0
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩68,104
- 청산가: ₩58,228
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: -14.50%
",-0.1450155572754661
2024-11-12,0.08790594679493975,50803.128087944664,55394.9453125,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-11-12

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩53,138
- 종가: ₩51,780
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 29.0
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩50,803
- 청산가: ₩55,395
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +9.04%
",0.09038453727901358
2024-07-23,-0.013661374145721486,199576.93854916067,197304.53125,000660.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-07-23

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩203,184
- 종가: ₩202,541
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 25.8
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩199,577
- 청산가: ₩197,305
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: -1.14%
",-0.011386121641508781
2024-04-03,0.012165795074490882,379500.0,385000.0,373220.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-04-03

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩383,681
- 종가: ₩376,000
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 27.3
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩379,500
- 청산가: ₩385,000
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +1.45%
",0.014492753623188406
2024-05-24,0.014475140825561159,357000.0,363000.0,373220.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-05-24

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩356,859
- 종가: ₩356,000
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 16.3
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩357,000
- 청산가: ₩363,000
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +1.68%
",0.01680672268907563
2024-02-29,0.07605227068158239,1194665.375,1288455.125,207940.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-02-29

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩1,208,548
- 종가: ₩1,190,053
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 29.7
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩1,194,665
- 청산가: ₩1,288,455
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +7.85%
",0.07850713008234628
2024-05-28,0.019309664084660238,1136239.0,1160839.625,207940.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-05-28

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩1,153,831
- 종가: ₩1,145,464
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 27.8
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩1,136,239
- 청산가: ₩1,160,840
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +2.17%
",0.02165092467341818
2024-11-13,0.049123842022614474,1462196.625,1537536.0,207940.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-11-13

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩1,479,836
- 종가: ₩1,460,659
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 28.4
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩1,462,197
- 청산가: ₩1,537,536
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +5.15%
",0.05152479065529234
