date,return,entry_price,exit_price,ticker,rationale
2023-10-06,0.04833835856498985,63439.784332643074,66506.359375,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-10-06

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩63,651
- 종가: ₩63,248
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(17): 28.1
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩63,440
- 청산가: ₩66,506
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +4.83%
"
2023-03-14,0.061050031722718424,79815.85660951327,84688.6171875,000660.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-03-14

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩80,086
- 종가: ₩79,036
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(17): 28.0
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩79,816
- 청산가: ₩84,689
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +6.11%
"
2023-10-04,0.05016008537886873,468500.0,492000.0,373220.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-10-04

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩460,296
- 종가: ₩456,000
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(17): 20.4
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩468,500
- 청산가: ₩492,000
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +5.02%
"
2023-02-27,0.03891043854804154,1185440.25,1231566.25,207940.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-02-27

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩1,195,338
- 종가: ₩1,183,903
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(17): 29.8
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩1,185,440
- 청산가: ₩1,231,566
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +3.89%
"
2023-07-07,0.04033375746714659,1105488.375,1150076.875,207940.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-07-07

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩1,109,094
- 종가: ₩1,105,488
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(17): 24.4
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩1,105,488
- 청산가: ₩1,150,077
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +4.03%
"
2023-09-22,0.026988699681571544,1082425.25,1111638.5,207940.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-09-22

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩1,083,810
- 종가: ₩1,080,888
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(17): 22.9
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩1,082,425
- 청산가: ₩1,111,638
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +2.70%
"
2023-08-03,-0.013047917753507124,168099.12480489074,165905.78125,005380.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-08-03

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩168,334
- 종가: ₩168,187
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(17): 28.6
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩168,099
- 청산가: ₩165,906
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: -1.30%
"
2023-10-27,0.04285717944295389,154738.45561594202,161370.109375,005380.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-10-27

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩157,594
- 종가: ₩155,269
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(17): 27.7
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩154,738
- 청산가: ₩161,370
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +4.29%
"
2023-04-28,0.00431661320297701,690737.3540178571,693719.0,006400.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-04-28

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩687,436
- 종가: ₩686,762
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(17): 26.2
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩690,737
- 청산가: ₩693,719
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +0.43%
"
2023-06-28,0.09132408634140494,652970.5029135338,712602.4375,006400.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-06-28

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩660,564
- 종가: ₩652,970
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(17): 26.6
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩652,971
- 청산가: ₩712,602
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +9.13%
"
